Global X Silver Miners ETF
Fund Holdings Data as of 05/13/2026
% of Net Assets,Ticker,Name,SEDOL,Market Price ($),Shares Held,Market Value ($)
0.01,"",CASH,"",1.0,"751,112.97","751,112.97"
0.00,"",KOREAN WON,"",0.0006708257652319232,"192,421,664.00","129,081.41"
0.00,"",CURRENCY CONTRACT - SEK,"",-0.0003155715587658715,"1,815,657.92",-572.97
,"",CURRENCY CONTRACT - SEK,"",,"-195,336.94",
0.16,USL AU,UNICO SILVER LTD,BQXR4J6,0.6023746628028235,"14,987,151.00","9,027,880.03"
0.15,SVL AU,SILVER MINES LTD,B1HMJH5,0.1342642320379344,"64,428,879.00","8,650,493.96"
0.13,"",OTHER PAYABLE & RECEIVABLES,"",1.0,"7,519,111.07","7,519,111.07"
0.12,GORO,GOLD RESOURCE CORP,B1DZ912,1.37,"4,994,892.00","6,843,002.04"
0.09,AAG CN,AFTERMATH SILVER LTD,BDFS6H8,0.6275311033709613,"7,840,790.00","4,920,339.60"
0.08,SOSI SS,SOTKAMO SILVER AB,7788354,0.6371783942892071,"7,059,615.00","4,498,234.15"
0.71,MUX,MCEWEN INC,BQGD8H7,25.92,"1,585,604.00","41,098,855.68"
0.69,VZLA CN,VIZSLA SILVER CORP,BS84LB7,3.867342843635663,"10,265,429.00","39,699,933.38"
0.66,ASM CN,AVINO SILVER & GOLD MINES,2474261,7.829545040079008,"4,909,927.00","38,442,494.59"
0.65,KCN AU,KINGSGATE CONSOLIDATED LTD,6492731,4.985920399017944,"7,502,219.00","37,405,466.75"
0.57,GGD CN,GOGOLD RESOURCES INC,B60BNP0,2.590390018158879,"12,684,153.00","32,856,903.32"
0.48,HSLV CN,HIGHLANDER SILVER CORP,BRBR2F7,6.435842241586464,"4,290,497.00","27,612,961.83"
0.46,SCZ CN,SANTACRUZ SILVER MINING LTD,BVV5T70,10.0623882655942,"2,665,495.00","26,821,245.61"
0.31,NUAG CN,NEW PACIFIC METALS CORP,BMW5909,5.939654857437498,"3,064,270.00","18,200,706.19"
0.29,ITR CN,INTEGRA RESOURCES CORP,BRK42Y8,2.853077455742063,"5,802,462.00","16,554,873.52"
0.20,SLVR CN,SILVER TIGER METALS INC,BLFLCL9,0.7004998359295875,"16,913,470.00","11,847,882.96"
0.19,GSVR CN,GUANAJUATO SILVER CO LTD,BMDM727,0.5034842570200924,"22,223,461.00","11,189,162.75"
0.17,ASL AU,ANDEAN SILVER LTD,BSFS736,1.770836357956717,"5,595,738.00","9,909,136.30"
0.17,BRC CN,BLACKROCK SILVER CORP,BNGHFP5,1.043452880220801,"9,306,474.00","9,710,867.10"
0.16,APM CN,ANDEAN PRECIOUS METALS CORP,BNDS6V4,5.655076802157856,"1,679,445.00","9,497,390.46"
20.96,WPM,WHEATON PRECIOUS METALS CORP,BDG1S92,142.22,"8,535,775.00","1,213,957,920.50"
13.30,PAAS,PAN AMERICAN SILVER CORP,2703396,63.66,"12,101,054.00","770,353,097.64"
10.07,CDE,COEUR MINING INC,2208136,19.74,"29,535,049.00","583,021,867.26"
5.14,AG CN,FIRST MAJESTIC SILVER CORP,2833583,24.00671312352247,"12,392,717.00","297,508,401.84"
5.04,PE&OLES* MM,INDUSTRIAS PENOLES SAB DE CV,2448200,61.8470301047885,"4,724,564.00","292,200,251.94"
4.96,HL,HECLA MINING CO,2418601,21.05,"13,646,528.00","287,259,414.40"
4.75,FRES LN,FRESNILLO PLC,B2QPKJ1,51.13859044557723,"5,381,424.00","275,198,437.95"
3.94,OR CN,OR ROYALTIES INC,BPJJWP1,39.20610018576468,"5,819,190.00","228,147,746.14"
3.81,BVN,CIA DE MINAS BUENAVENTUR-ADR,2210476,38.47,"5,741,457.00","220,873,850.79"
3.75,SSRM,SSR MINING INC,BF7MQ72,34.75,"6,252,921.00","217,289,004.75"
2.60,DSV CN,DISCOVERY SILVER CORP,BND9899,7.530373235290049,"20,021,633.00","150,770,369.27"
2.50,010130 KS,KOREA ZINC CO LTD,6495428,1006.909505602066,"144,054.00","145,049,341.92"
1.79,EXK,ENDEAVOUR SILVER CORP,B018TM7,11.28,"9,197,270.00","103,745,205.60"
1.79,SVM CN,SILVERCORP METALS INC,2784261,15.70287131955495,"6,586,160.00","103,421,622.97"
1.75,FVI CN,FORTUNA MINING CORP,BPLQGB4,10.68991936937788,"9,479,401.00","101,334,032.36"
1.58,AYA CN,AYA GOLD & SILVER INC,BK94091,21.39443248503152,"4,264,795.00","91,242,868.69"
1.53,HOC LN,HOCHSCHILD MINING PLC,B1FW502,9.230353402519766,"9,580,973.00","88,435,766.73"
1.33,TFPM CN,TRIPLE FLAG PRECIOUS MET,BJ171P4,35.57225728958391,"2,167,099.00","77,088,603.20"
1.06,HYMC,HYCROFT MINING HOLDING CO-A,BS70KX1,43.63,"1,403,250.00","61,223,797.50"
1.05,ABRA CN,ABRASILVER RESOURCE CORP,BR4XSQ5,13.87865299739428,"4,385,359.00","60,862,875.83"
0.85,USA CN,AMERICAS GOLD AND SILVER CORP,BVMJP62,7.260388922994062,"6,773,166.00","49,175,819.40"
"The information contained herein may not be reproduced, redistributed or used to create any derivative works."
