iShares MSCI Global Silver and Metals Miners ETF
A fecha de,"12-may-2026"
Fecha de constitución,"31-ene-2012"
Acciones en circulación,"26,700,000.00"
% en Acciones,"-"
% del Bono,"-"
% en Efectivo,"-"
% en Otro,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"HL","HECLA MINING","Materiales","Renta Variable","146,839,006.71","13.42","146,839,006.71","7,138,503.00","20.57","Estados Unidos","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PE&OLES*","INDUST PENOLES","Materiales","Renta Variable","122,601,096.96","11.21","122,601,096.96","2,032,265.00","60.33","México","Bolsa Mexicana De Valores","USD","17.26","MXN","-"
"FRES","FRESNILLO PLC","Materiales","Renta Variable","110,481,163.31","10.10","110,481,163.31","2,244,553.00","49.22","Reino Unido","London Stock Exchange","USD","0.74","GBP","-"
"AG","FIRST MAJESTIC SILVER CORP","Materiales","Renta Variable","103,668,661.88","9.48","103,668,661.88","4,280,860.00","24.22","Canadá","Toronto Stock Exchange","USD","1.37","CAD","-"
"SVM","SILVERCORP METALS INC","Materiales","Renta Variable","55,170,346.95","5.04","55,170,346.95","3,638,085.00","15.16","Canadá","Toronto Stock Exchange","USD","1.37","CAD","-"
"DSV","DISCOVERY SILVER CORP","Materiales","Renta Variable","52,107,022.99","4.76","52,107,022.99","6,796,967.00","7.67","Canadá","Toronto Stock Exchange","USD","1.37","CAD","-"
"EDR","ENDEAVOUR SILVER CORP","Materiales","Renta Variable","46,946,132.10","4.29","46,946,132.10","4,099,414.00","11.45","Canadá","Toronto Stock Exchange","USD","1.37","CAD","-"
"NEM","NEWMONT","Materiales","Renta Variable","46,421,527.12","4.24","46,421,527.12","387,848.00","119.69","Estados Unidos","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AYA","AYA GOLD & SILVER INC","Materiales","Renta Variable","45,907,766.89","4.20","45,907,766.89","2,169,502.00","21.16","Canadá","Toronto Stock Exchange","USD","1.37","CAD","-"
"WPM","WHEATON PRECIOUS METALS CORP","Materiales","Renta Variable","44,245,943.79","4.04","44,245,943.79","309,864.00","142.79","Canadá","Toronto Stock Exchange","USD","1.37","CAD","-"
"AEM","AGNICO EAGLE MINES LTD","Materiales","Renta Variable","44,055,995.36","4.03","44,055,995.36","223,508.00","197.11","Canadá","Toronto Stock Exchange","USD","1.37","CAD","-"
"K","KINROSS GOLD CORP","Materiales","Renta Variable","32,692,711.59","2.99","32,692,711.59","1,029,873.00","31.74","Canadá","Toronto Stock Exchange","USD","1.37","CAD","-"
"PAAS","PAN AMERICAN SILVER CORP","Materiales","Renta Variable","20,749,839.54","1.90","20,749,839.54","325,406.00","63.77","Canadá","Toronto Stock Exchange","USD","1.37","CAD","-"
"ASM","AVINO SILVER AND GOLD MINES LTD","Materiales","Renta Variable","17,873,249.06","1.63","17,873,249.06","2,248,012.00","7.95","Canadá","Toronto Stock Exchange","USD","1.37","CAD","-"
"CDE","COEUR MINING INC","Materiales","Renta Variable","16,473,908.01","1.51","16,473,908.01","816,753.00","20.17","Estados Unidos","New York Stock Exchange Inc.","USD","1.00","USD","-"
