Global X Gold Miners ETF
Fund Holdings Data as of 05/13/2026
% of Net Assets,Ticker,Name,SEDOL,Market Price ($),Shares Held,Market Value ($)
12.53,NEM,NEWMONT CORP,2636607,118.96,"8,804.00","1,047,323.84"
9.49,AEM,AGNICO EAGLE MINES LTD,2009834,195.97,"4,047.00","793,090.59"
7.21,B,BARRICK MINING CORP,BNKB6Z0,44.87,"13,433.00","602,738.71"
6.25,WPM,WHEATON PRECIOUS METALS CORP,BDG1S92,142.22,"3,673.00","522,374.06"
5.00,AU,ANGLOGOLD ASHANTI PLC,BRXH266,102.37,"4,084.00","418,079.08"
4.46,FNV,FRANCO-NEVADA CORP,B29VF02,240.79,"1,548.00","372,742.92"
3.91,GFI,GOLD FIELDS LTD-SPONS ADR,2416326,44.77999999999999,"7,293.00","326,580.54"
3.62,KGC,KINROSS GOLD CORP,B04NVW3,31.27,"9,675.00","302,537.25"
2.91,2899 HK,ZIJIN MINING GROUP CO LTD-H,6725299,4.957411201629328,"49,100.00","243,408.89"
2.60,PAAS,PAN AMERICAN SILVER CORP,2703396,63.66,"3,413.00","217,271.58"
2.09,NST AU,NORTHERN STAR RESOURCES LTD,6717456,15.70528598365808,"11,137.00","174,909.77"
2.00,RGLD,ROYAL GOLD INC,2755706,244.99,682.00,"167,083.18"
1.93,CDE,COEUR MINING INC,2208136,19.74,"8,183.00","161,532.42"
1.89,EVN AU,EVOLUTION MINING LTD,B3X0F91,9.725085204552446,"16,255.00","158,081.26"
1.77,AGI,ALAMOS GOLD INC-CLASS A,BYNBW45,43.65000000000001,"3,393.00","148,104.45"
1.40,EDV LN,ENDEAVOUR MINING PLC,BL6K5J4,66.5044911881751,"1,759.00","116,981.40"
1.35,HL,HECLA MINING CO,2418601,21.05,"5,358.00","112,785.90"
1.13,AG,FIRST MAJESTIC SILVER CORP,B01DH95,23.98,"3,949.00","94,697.02"
1.08,HMY,HARMONY GOLD MNG-SPON ADR,2411202,17.55,"5,160.00","90,558.00"
1.07,IAG,IAMGOLD CORP,2149525,18.79,"4,762.00","89,477.98"
1.06,EQX,EQUINOX GOLD CORP,BKLNP24,14.49,"6,129.00","88,809.21"
0.95,BVN,CIA DE MINAS BUENAVENTUR-ADR,2210476,38.47000000000001,"2,055.00","79,055.85"
0.91,FRES LN,FRESNILLO PLC,B2QPKJ1,51.13859060402685,"1,490.00","76,196.50"
0.85,2259 HK,ZIJIN GOLD INTERNATIONAL CO,BSD3B20,21.09645494830133,"3,385.00","71,411.50"
0.04,APM CN,ANDEAN PRECIOUS METALS CORP,BNDS6V4,5.655085714285715,525.00,"2,968.92"
0.03,DTR AU,DATELINE RESOURCES LTD,BHCQB45,0.1560366488937918,"16,317.00","2,546.05"
0.03,"",CASH,"",1.0,"2,385.57","2,385.57"
0.03,"",OTHER PAYABLE & RECEIVABLES,"",1.0,"2,266.28","2,266.28"
0.00,"",BRITISH STERLING POUND,"",1.36,0.25,0.34
0.00,"",CANADIAN DOLLAR,"",0.7142857142857143,0.21,0.15
0.15,USAS,AMERICAS GOLD AND SILVER COR,BVMDRM4,7.25,"1,735.00","12,578.75"
0.14,GTWO CN,G2 GOLDFIELDS INC,BJMF641,8.79273343373494,"1,328.00","11,676.75"
0.14,3330 HK,LINGBAO GOLD GROUP CO LTD-H,B0W3C66,2.8298875,"4,000.00","11,319.55"
0.14,SX2 AU,SOUTHERN CROSS GOLD CONS-CDI,BN93B41,7.344617896799478,"1,531.00","11,244.61"
0.13,MUX,MCEWEN INC,BQGD8H7,25.92,420.00,"10,886.40"
0.13,OBM AU,ORA BANDA MINING LTD,BKDX544,1.005167085544075,"10,743.00","10,798.51"
0.12,VZLA,VIZSLA SILVER CORP,BSB7Q07,3.85,"2,665.00","10,260.25"
0.12,DRD,DRDGOLD LTD-SPONSORED ADR,2288343,29.56,347.00,"10,257.32"
0.12,KCN AU,KINGSGATE CONSOLIDATED LTD,6492731,4.985919098822325,"1,953.00","9,737.50"
0.11,IAUX,I-80 GOLD CORP,BLGXBS4,1.56,"5,903.00","9,208.68"
0.10,MSA CN,MINEROS SA,BP0QM95,3.874641369736233,"2,161.00","8,373.10"
0.10,6693 HK,CHIFENG JILONG GOLD MINING-H,BV0TR57,5.22303125,"1,600.00","8,356.85"
0.10,ALK AU,ALKANE RESOURCES LTD,6014027,1.128545002760906,"7,244.00","8,175.18"
0.10,CYL AU,CATALYST METALS LTD,B17P5V0,4.129531090723751,"1,962.00","8,102.14"
0.09,RIO CN,RIO2 LTD/NEW,BGC0ML4,2.407967152153703,"3,227.00","7,770.51"
0.09,HSLV CN,HIGHLANDER SILVER CORP,BRBR2F7,6.435844594594594,"1,184.00","7,620.04"
0.09,GGD CN,GOGOLD RESOURCES INC,B60BNP0,2.590389743589744,"2,925.00","7,576.89"
0.09,CNL CN,COLLECTIVE MINING LTD,BN79Z49,18.05977329974811,397.00,"7,169.73"
0.09,PNR AU,PANTORO GOLD LTD,6210289,2.44578603371173,"2,907.00","7,109.90"
0.08,SCZM,SANTACRUZ SILVER MINING LTD,BVV8KG5,10.02,685.00,"6,863.70"
0.08,ORE CN,OREZONE GOLD CORP,B5BVW11,1.824218036529681,"3,504.00","6,392.06"
0.07,THM,INTL TOWER HILL MINES LTD,B5ZYX57,2.79,"2,100.00","5,859.00"
0.07,340 HK,TONGGUAN GOLD GROUP LTD,BFMKZ63,0.355013125,"16,000.00","5,680.21"
0.07,DC,DAKOTA GOLD CORP,BMFTC10,6.42,852.00,"5,469.84"
0.07,ELE,ELEMENTAL ROYALTY CORP,BVMNPS6,19.43,280.00,"5,440.40"
0.06,GAU,GALIANO GOLD INC,BLF8072,2.61,"2,023.00","5,280.03"
0.06,NEWP,NEW PACIFIC METALS CORP,BMX73Y6,5.970000000000001,880.00,"5,253.60"
0.06,GROY,GOLD ROYALTY CORP,BMFJJ42,3.73,"1,376.00","5,132.48"
0.06,ODV,OSISKO DEVELOPMENT CORP,BMHZZM8,3.39,"1,479.00","5,013.81"
0.05,MTA,METALLA ROYALTY & STREAMING,BL0N0S3,7.620000000000001,571.00,"4,351.02"
0.05,NFGC,NEW FOUND GOLD CORP,BL98380,2.25,"1,840.00","4,140.00"
0.75,OGC CN,OCEANAGOLD CORP,BQXQY26,34.32449035812672,"1,815.00","62,298.95"
0.73,DPM CN,DPM METALS INC,BPCR7W4,35.02499424626007,"1,738.00","60,873.44"
0.71,OR,OR ROYALTIES INC,BPJJWN9,39.2,"1,515.00","59,388.00"
0.69,TFPM,TRIPLE FLAG PRECIOUS MET,BMDVH13,35.58,"1,622.00","57,710.76"
0.69,LUG CN,LUNDIN GOLD INC,BTKSSY6,70.51698898408813,817.00,"57,612.38"
0.68,EGO,ELDORADO GOLD CORP,BHZJ5X8,35.54,"1,600.00","56,864.00"
0.68,SSRM,SSR MINING INC,BF7MQ72,34.75,"1,636.00","56,851.00"
0.66,GMIN CN,G MINING VENTURE CORP,BSWW128,38.69532167832168,"1,430.00","55,334.31"
0.65,BTG,B2GOLD CORP,B2PDX08,5.359999999999999,"10,195.00","54,645.20"
0.58,1818 HK,ZHAOJIN MINING INDUSTRY CO-H,B1H5082,3.606318656716418,"13,400.00","48,324.67"
0.53,PRU AU,PERSEUS MINING LTD,B02FBC1,4.100502623584645,"10,863.00","44,543.76"
0.53,GGP AU,GREATLAND RESOURCES LTD,BTXLW40,10.80645717058966,"4,121.00","44,533.41"
0.50,GMD AU,GENESIS MINERALS LTD,B23G0X1,4.818996861559921,"8,603.00","41,457.83"
0.47,RMS AU,RAMELIUS RESOURCES LTD,6586872,2.598194160680156,"15,173.00","39,422.40"
0.47,KNT CN,K92 MINING,BYZ2CB3,20.54070083682008,"1,912.00","39,273.82"
0.46,TXG CN,TOREX GOLD RESOURCES INC,BD2NKY1,50.50895833333333,768.00,"38,790.88"
0.43,ORLA,ORLA MINING LTD,BYZGY75,14.58,"2,446.00","35,662.68"
0.41,CMM AU,CAPRICORN METALS LTD,BDD98W2,10.27665661742538,"3,317.00","34,087.67"
0.39,PAN SJ,PAN AFRICAN RESOURCES PLC,B23QH41,2.024948217054264,"16,125.00","32,652.29"
0.38,ARIS,ARIS MINING CORP,BMW3YT7,19.71,"1,627.00","32,068.17"
0.38,DSV CN,DISCOVERY SILVER CORP,BND9899,7.530372567631704,"4,214.00","31,732.99"
0.37,WGX AU,WESTGOLD RESOURCES LTD,BYVQ673,4.115017802980351,"7,583.00","31,204.18"
0.36,CGAU,CENTERRA GOLD INC,B098J30,18.88,"1,608.00","30,359.04"
0.35,RRL AU,REGIS RESOURCES LTD,6476542,4.98591991890522,"5,919.00","29,511.66"
0.35,1787 HK,SHANDONG GOLD MINING CO LT-H,BFD2096,3.802980392156863,"7,650.00","29,092.80"
0.35,PPTA,PERPETUA RESOURCES CORP,BNNNK51,31.77,914.00,"29,037.78"
0.34,VAU AU,VAULT MINERALS LTD,BSML1B4,3.498127272727273,"8,250.00","28,859.55"
0.33,SKE,SKEENA RESOURCES LTD,BMDM772,34.31,804.00,"27,585.24"
0.33,WDO CN,WESDOME GOLD MINES LTD,B0Y90N5,22.59112118713932,"1,213.00","27,403.03"
0.32,EXK,ENDEAVOUR SILVER CORP,B018TM7,11.28,"2,385.00","26,902.80"
0.32,SVM,SILVERCORP METALS INC,B01DQT8,15.71,"1,708.00","26,832.68"
0.31,FSM,FORTUNA MINING CORP,BPBPD21,10.69,"2,448.00","26,169.12"
0.29,NG,NOVAGOLD RESOURCES INC,2206903,9.06,"2,716.00","24,606.96"
0.29,SA,SEABRIDGE GOLD INC,B00VFP2,33.26,736.00,"24,479.36"
0.28,PDI AU,PREDICTIVE DISCOVERY LTD,B3N05H9,0.7475252366919557,"31,898.00","23,844.56"
0.28,AYA CN,AYA GOLD & SILVER INC,BK94091,21.39443345323741,"1,112.00","23,790.61"
0.28,HOC LN,HOCHSCHILD MINING PLC,B1FW502,9.230352526439484,"2,553.00","23,565.09"
0.28,AAUC,ALLIED GOLD CORP,BS71BH5,29.51,793.00,"23,401.43"
0.27,AUGO,AURA MINERALS INC,BJ1JSK4,79.26,284.00,"22,509.84"
0.27,MAU CN,MONTAGE GOLD CORP,BMYMV13,11.44879194630873,"1,937.00","22,176.31"
0.23,EMR AU,EMERALD RESOURCES NL,6107381,4.543210790164717,"4,189.00","19,031.51"
0.22,WAF AU,WEST AFRICAN RESOURCES LTD,B4KBBN0,2.402240587695133,"7,623.00","18,312.28"
0.21,HYMC,HYCROFT MINING HOLDING CO-A,BS70KX1,43.63,400.00,"17,452.00"
0.19,ABRA CN,ABRASILVER RESOURCE CORP,BR4XSQ5,13.87865334491746,"1,151.00","15,974.33"
0.18,RSG AU,RESOLUTE MINING LTD,6410636,1.005167107001321,"15,140.00","15,218.23"
0.18,3939 HK,WANGUO GOLD GROUP LTD,BV106D0,1.573294791666667,"9,600.00","15,103.63"
0.17,BGL AU,BELLEVUE GOLD LTD,BFZ31P0,1.215635516438001,"11,589.00","14,088.00"
0.16,RUP CN,RUPERT RESOURCES LTD,2910055,8.13601620947631,"1,604.00","13,050.17"
0.15,SGD CN,SNOWLINE GOLD CORP,BN7R1R8,12.23685823754789,"1,044.00","12,775.28"
"The information contained herein may not be reproduced, redistributed or used to create any derivative works."
