iShares MSCI Global Gold Miners ETF
A fecha de,"08-may-2026"
Fecha de constitución,"31-ene-2012"
Acciones en circulación,"37,300,000.00"
% en Acciones,"-"
% del Bono,"-"
% en Efectivo,"-"
% en Otro,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NEM","NEWMONT","Materiales","Renta Variable","502,227,889.49","16.40","502,227,889.49","4,310,599.00","116.51","Estados Unidos","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AEM","AGNICO EAGLE MINES LTD","Materiales","Renta Variable","376,361,356.92","12.29","376,361,356.92","1,948,262.00","193.18","Canadá","Toronto Stock Exchange","USD","1.37","CAD","-"
"ABX","BARRICK MINING CORP","Materiales","Renta Variable","263,954,060.70","8.62","263,954,060.70","6,119,890.00","43.13","Canadá","Toronto Stock Exchange","USD","1.37","CAD","-"
"WPM","WHEATON PRECIOUS METALS CORP","Materiales","Renta Variable","220,890,050.84","7.21","220,890,050.84","1,592,190.00","138.73","Canadá","Toronto Stock Exchange","USD","1.37","CAD","-"
"ANG","ANGLOGOLD ASHANTI PLC","Materiales","Renta Variable","149,397,934.35","4.88","149,397,934.35","1,410,663.00","105.91","Sudáfrica","Johannesburg Stock Exchange","USD","16.42","ZAR","-"
"K","KINROSS GOLD CORP","Materiales","Renta Variable","136,691,920.66","4.46","136,691,920.66","4,339,089.00","31.50","Canadá","Toronto Stock Exchange","USD","1.37","CAD","-"
"GFI","GOLD FIELDS LTD","Materiales","Renta Variable","128,018,143.28","4.18","128,018,143.28","2,859,422.00","44.77","Sudáfrica","Johannesburg Stock Exchange","USD","16.42","ZAR","-"
"2899","ZIJIN MINING GROUP LTD H","Materiales","Renta Variable","111,062,231.76","3.63","111,062,231.76","22,584,000.00","4.92","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"PAAS","PAN AMERICAN SILVER CORP","Materiales","Renta Variable","108,877,598.10","3.55","108,877,598.10","1,841,892.00","59.11","Canadá","Toronto Stock Exchange","USD","1.37","CAD","-"
"AGI","ALAMOS GOLD INC CLASS A","Materiales","Renta Variable","92,324,562.24","3.01","92,324,562.24","2,130,124.00","43.34","Canadá","Toronto Stock Exchange","USD","1.37","CAD","-"
"CDE","COEUR MINING INC","Materiales","Renta Variable","62,696,385.28","2.05","62,696,385.28","3,378,038.00","18.56","Estados Unidos","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IMG","IAMGOLD CORP","Materiales","Renta Variable","61,139,408.94","2.00","61,139,408.94","3,271,042.00","18.69","Canadá","Toronto Stock Exchange","USD","1.37","CAD","-"
"EQX","EQUINOX GOLD CORP","Materiales","Renta Variable","59,910,830.30","1.96","59,910,830.30","4,197,744.00","14.27","Canadá","Toronto Stock Exchange","USD","1.37","CAD","-"
"EDV","ENDEAVOUR MINING","Materiales","Renta Variable","59,839,912.72","1.95","59,839,912.72","915,522.00","65.36","Reino Unido","London Stock Exchange","USD","0.73","GBP","-"
"HAR","HARMONY GOLD MINING COMPANY LIMITE","Materiales","Renta Variable","54,180,626.23","1.77","54,180,626.23","3,042,991.00","17.81","Sudáfrica","Johannesburg Stock Exchange","USD","16.42","ZAR","-"
"SSRM","SSR MINING INC","Materiales","Renta Variable","50,769,209.06","1.66","50,769,209.06","1,486,169.00","34.16","Canadá","Toronto Stock Exchange","USD","1.37","CAD","-"
"LUG","LUNDIN GOLD INC","Materiales","Renta Variable","46,741,682.32","1.53","46,741,682.32","666,674.00","70.11","Canadá","Toronto Stock Exchange","USD","1.37","CAD","-"
"CDE","COEUR MINING INC","Materiales","Renta Variable","46,056,654.49","1.50","46,056,654.49","2,480,573.00","18.57","Estados Unidos","Toronto Stock Exchange","USD","1.37","CAD","-"
"ELD","ELDORADO GOLD CORP","Materiales","Renta Variable","45,595,884.38","1.49","45,595,884.38","1,337,590.00","34.09","Canadá","Toronto Stock Exchange","USD","1.37","CAD","-"
"BTO","B2GOLD CORP","Materiales","Renta Variable","40,111,971.37","1.31","40,111,971.37","7,574,800.00","5.30","Canadá","Toronto Stock Exchange","USD","1.37","CAD","-"
"OGC","OCEANAGOLD CORPORATION CORP","Materiales","Renta Variable","37,366,325.69","1.22","37,366,325.69","1,172,010.00","31.88","Canadá","Toronto Stock Exchange","USD","1.37","CAD","-"
"TXG","TOREX GOLD RESOURCES INC","Materiales","Renta Variable","34,353,264.68","1.12","34,353,264.68","685,713.00","50.10","Canadá","Toronto Stock Exchange","USD","1.37","CAD","-"
"GMD","GENESIS MINERALS LTD","Materiales","Renta Variable","34,059,071.95","1.11","34,059,071.95","7,558,472.00","4.51","Australia","Asx - All Markets","USD","1.38","AUD","-"
"GMIN","G MINING VENTURES CORP","Materiales","Renta Variable","31,798,391.35","1.04","31,798,391.35","810,560.00","39.23","Canadá","Toronto Stock Exchange","USD","1.37","CAD","-"
"CG","CENTERRA GOLD INC","Materiales","Renta Variable","31,658,515.39","1.03","31,658,515.39","1,728,906.00","18.31","Canadá","Toronto Stock Exchange","USD","1.37","CAD","-"
"2099","CHINA GOLD INTERNATIONAL RESOURCES","Materiales","Renta Variable","28,475,992.49","0.93","28,475,992.49","1,299,900.00","21.91","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"HOC","HOCHSCHILD MINING PLC","Materiales","Renta Variable","27,713,132.23","0.90","27,713,132.23","3,173,037.00","8.73","Reino Unido","London Stock Exchange","USD","0.73","GBP","-"
"WDO","WESDOME GOLD MINES LTD","Materiales","Renta Variable","25,560,668.97","0.83","25,560,668.97","1,245,821.00","20.52","Canadá","Toronto Stock Exchange","USD","1.37","CAD","-"
"WGX","WESTGOLD RESOURCES LTD","Materiales","Renta Variable","20,316,613.16","0.66","20,316,613.16","5,007,891.00","4.06","Australia","Asx - All Markets","USD","1.38","AUD","-"
"DRD","DRDGOLD LTD","Materiales","Renta Variable","20,278,989.91","0.66","20,278,989.91","6,727,559.00","3.01","Sudáfrica","Johannesburg Stock Exchange","USD","16.42","ZAR","-"
"ARIS","ARIS MINING CORP","Materiales","Renta Variable","20,271,911.72","0.66","20,271,911.72","1,031,374.00","19.66","Canadá","Toronto Stock Exchange","USD","1.37","CAD","-"
"EMR","EMERALD RESOURCES","Materiales","Renta Variable","19,102,200.60","0.62","19,102,200.60","4,322,601.00","4.42","Australia","Asx - All Markets","USD","1.38","AUD","-"
"RRL","REGIS RESOURCES LTD","Materiales","Renta Variable","19,047,342.74","0.62","19,047,342.74","3,838,269.00","4.96","Australia","Asx - All Markets","USD","1.38","AUD","-"
"ANTM","PT ANTAM TBK","Materiales","Renta Variable","18,039,270.89","0.59","18,039,270.89","86,295,300.00","0.21","Indonesia","Indonesia Stock Exchange","USD","17,365.00","IDR","-"
"601899","ZIJIN MINING GROUP LTD A","Materiales","Renta Variable","13,782,975.80","0.45","13,782,975.80","2,692,235.00","5.12","China","Shanghai Stock Exchange","USD","6.80","CNY","-"
"RSG","RESOLUTE MINING LTD","Materiales","Renta Variable","12,829,466.37","0.42","12,829,466.37","13,728,101.00","0.93","Australia","Asx - All Markets","USD","1.38","AUD","-"
"TRALT.E","KOZA ALTIN ISLETMELERI A","Materiales","Renta Variable","11,340,790.67","0.37","11,340,790.67","11,719,183.00","0.97","Turquía","Istanbul Stock Exchange","USD","45.36","TRY","-"
"OBM","ORA BANDA MINING LTD","Materiales","Renta Variable","9,006,808.48","0.29","9,006,808.48","9,209,345.00","0.98","Australia","Asx - All Markets","USD","1.38","AUD","-"
"MUX","MCEWEN INC","Materiales","Renta Variable","8,938,301.62","0.29","8,938,301.62","368,894.00","24.23","Estados Unidos","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CYL","CATALYST METALS LTD","Materiales","Renta Variable","6,604,553.87","0.22","6,604,553.87","1,672,779.00","3.95","Australia","Asx - All Markets","USD","1.38","AUD","-"
"WAF","WEST AFRICAN RESOURCES LTD","Materiales","Renta Variable","5,968,349.41","0.19","5,968,349.41","2,598,882.00","2.30","Australia","Asx - All Markets","USD","1.38","AUD","-"
"2259","ZIJIN GOLD INTERNATIONAL LTD","Materiales","Renta Variable","3,827,310.70","0.12","3,827,310.70","173,700.00","22.03","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Liquidez","Money Market","2,482,074.96","0.08","2,482,074.96","2,482,075.00","1.00","Estados Unidos","-","USD","1.00","USD","-"
"ZAR","ZAR CASH","Liquidez","Cash","1,548,988.00","0.05","1,548,988.00","25,426,638.00","6.09","Sudáfrica","-","USD","16.42","ZAR","-"
"CAD","CAD CASH","Liquidez","Cash","1,017,785.76","0.03","1,017,785.76","1,393,450.00","73.04","Canadá","-","USD","1.37","CAD","-"
"HKD","HKD CASH","Liquidez","Cash","822,669.62","0.03","822,669.62","6,440,516.00","12.77","Hong Kong","-","USD","7.83","HKD","-"
"GBP","GBP CASH","Liquidez","Cash","394,054.30","0.01","394,054.30","289,204.00","136.25","Reino Unido","-","USD","0.73","GBP","-"
"AUD","AUD CASH","Liquidez","Cash","364,842.81","0.01","364,842.81","503,614.00","72.44","Australia","-","USD","1.38","AUD","-"
"WFFUT","CASH COLLATERAL USD WFFUT","Liquidez","Cash Collateral and Margins","265,000.00","0.01","265,000.00","265,000.00","100.00","Estados Unidos","-","USD","1.00","USD","23-ago-2017"
"CNH","CNH CASH","Liquidez","Cash","87,132.46","0.00","87,132.46","592,283.00","14.71","China","-","USD","6.80","CNH","31-dic-1989"
"TRY","TRY CASH","Liquidez","Cash","85,480.20","0.00","85,480.20","3,877,788.00","2.20","Turquía","-","USD","45.36","TRY","-"
"PLZL","POLYUS","Materiales","Renta Variable","8.43","0.00","8.43","625,470.00","0.00","Rusia","Standard-Classica-Forts","USD","74.20","RUB","01-ene-1970"
"PTM6","S&P/TSE 60 INDEX JUN 26","Liquidez","Futures","0.00","0.00","4,914,863.78","17.00","1,445.55","-","The Montreal Exchange / Bourse De Montreal","USD","1.37","CAD","-"
"USD","USD CASH","Liquidez","Cash","-1,348,356.27","-0.04","-1,348,356.27","-1,348,356.00","100.00","Estados Unidos","-","USD","1.00","USD","-"
 
