iShares MSCI Global Gold Miners ETF
A fecha de,"13-may-2026"
Fecha de constitución,"31-ene-2012"
Acciones en circulación,"37,300,000.00"
% en Acciones,"-"
% del Bono,"-"
% en Efectivo,"-"
% en Otro,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NEM","NEWMONT","Materiales","Renta Variable","512,788,857.04","16.42","512,788,857.04","4,310,599.00","118.96","Estados Unidos","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AEM","AGNICO EAGLE MINES LTD","Materiales","Renta Variable","381,705,532.49","12.22","381,705,532.49","1,948,262.00","195.92","Canadá","Toronto Stock Exchange","USD","1.37","CAD","-"
"ABX","BARRICK MINING CORP","Materiales","Renta Variable","274,634,780.55","8.79","274,634,780.55","6,119,890.00","44.88","Canadá","Toronto Stock Exchange","USD","1.37","CAD","-"
"WPM","WHEATON PRECIOUS METALS CORP","Materiales","Renta Variable","226,353,663.18","7.25","226,353,663.18","1,592,190.00","142.16","Canadá","Toronto Stock Exchange","USD","1.37","CAD","-"
"ANG","ANGLOGOLD ASHANTI PLC","Materiales","Renta Variable","144,414,360.64","4.62","144,414,360.64","1,410,663.00","102.37","Sudáfrica","Johannesburg Stock Exchange","USD","16.43","ZAR","-"
"K","KINROSS GOLD CORP","Materiales","Renta Variable","135,765,723.90","4.35","135,765,723.90","4,339,089.00","31.29","Canadá","Toronto Stock Exchange","USD","1.37","CAD","-"
"GFI","GOLD FIELDS LTD","Materiales","Renta Variable","126,762,681.92","4.06","126,762,681.92","2,859,422.00","44.33","Sudáfrica","Johannesburg Stock Exchange","USD","16.43","ZAR","-"
"PAAS","PAN AMERICAN SILVER CORP","Materiales","Renta Variable","117,197,258.13","3.75","117,197,258.13","1,841,892.00","63.63","Canadá","Toronto Stock Exchange","USD","1.37","CAD","-"
"2899","ZIJIN MINING GROUP LTD H","Materiales","Renta Variable","111,958,174.88","3.58","111,958,174.88","22,584,000.00","4.96","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"AGI","ALAMOS GOLD INC CLASS A","Materiales","Renta Variable","92,948,604.62","2.98","92,948,604.62","2,130,124.00","43.64","Canadá","Toronto Stock Exchange","USD","1.37","CAD","-"
"CDE","COEUR MINING INC","Materiales","Renta Variable","66,682,470.12","2.13","66,682,470.12","3,378,038.00","19.74","Estados Unidos","New York Stock Exchange Inc.","USD","1.00","USD","-"
