"SILJ","","","","",""
"As of: 05/14/2026","","","","",""
"","","","","",""
"NAME","TICKER","CUSIP","SHARES","PRICE","MARKET VALUE","WEIGHTINGS"
"First Majestic Silver Corp","AG","32076V103","20063829.00000000","23.980000","481130619.42","10.79%"
"COEUR MINING INC.","CDE","192108504","20456701.00000000","19.740000","403815277.74","9.05%"
"Hecla Mining Co","HL","422704106","18567096.00000000","21.050000","390837370.80","8.76%"
"Wheaton Precious Metals Corp","WPM","962879102","1773459.00000000","142.220000","252221338.98","5.65%"
"Hycroft Mining Holding Corp","HYMC","44862P208","4437897.00000000","43.630000","193625446.11","4.34%"
"Endeavour Silver Corp","EXK","29258Y103","17056553.00000000","11.280000","192397917.84","4.31%"
"KGHM Polska Miedz SA","KGH PW","5263251","1656083.00000000","380.000000","173430948.58","3.89%"
"Pan American Silver Corp","PAAS","697900108","2720144.00000000","63.660000","173164367.04","3.88%"
"Perpetua Resources Corp","PPTA","714266103","5136783.00000000","31.770000","163195595.91","3.66%"
"Cia de Minas Buenaventura SAA","BVN","204448104","4170423.00000000","38.470000","160436172.81","3.60%"
"SSR Mining Inc","SSRM","784730103","4604102.00000000","34.750000","159992544.50","3.59%"
"Silvercorp Metals Inc","SVM","82835P103","9992677.00000000","15.710000","156984955.67","3.52%"
"Seabridge Gold Inc","SA","811916105","3821244.00000000","33.260000","127094575.44","2.85%"
"Boliden AB","BOL SS","BPYTZ57","2141878.00000000","545.600000","125355584.89","2.81%"
"Aya Gold & Silver Inc","AYA CN","BK94091","5471978.00000000","29.320000","117069863.88","2.62%"
"OR Royalties Inc","OR","68390D106","2585329.00000000","39.200000","101344896.80","2.27%"
"Franco-Nevada Corp","FNV","351858105","396423.00000000","240.790000","95454694.17","2.14%"
"Triple Flag Precious Metals Corp","TFPM","89679M104","2443721.00000000","35.580000","86947593.18","1.95%"
"Skeena Resources Ltd","SKE CN","BMDM761","2323698.00000000","46.960000","79624107.47","1.79%"
"Artemis Gold Inc","ARTG CN","BKLTQ63","2938350.00000000","35.940000","77058118.87","1.73%"
"Vizsla Silver Corp","VZLA","92859G608","19238564.00000000","3.850000","74068471.40","1.66%"
"Fortuna Mining Corp","FSM","349942102","6170590.00000000","10.690000","65963607.10","1.48%"
"Royal Gold Inc","RGLD","780287108","258394.00000000","244.990000","63303946.06","1.42%"
"Americas Gold & Silver Corp","USA CN","BVMJP62","8349442.00000000","9.950000","60620196.21","1.36%"
"Fresnillo PLC","FRES LN","B2QPKJ1","994356.00000000","37.840000","50849964.24","1.14%"
"Avino Silver & Gold Mines Ltd","ASM","053906103","6339947.00000000","7.830000","49641785.01","1.11%"
"Hochschild Mining PLC","HOC LN","B1FW502","4938179.00000000","6.830000","45581137.33","1.02%"
"Trilogy Metals Inc","TMQ","89621C105","9420654.00000000","4.650000","43806041.10","0.98%"
"AbraSilver Resource Corp","ABRA CN","BR4XSQ5","3011491.00000000","19.020000","41795438.59","0.94%"
"Industrias Penoles SAB de CV","PE&OLES* MM","2448200","557256.00000000","1058.580000","34284555.18","0.77%"
"McEwen Inc","MUX","58039P305","1202853.00000000","25.920000","31177949.76","0.70%"
"Western Copper & Gold Corp","WRN","95805V108","5705305.00000000","3.160000","18028763.80","0.40%"
"GoGold Resources Inc","GGD CN","B60BNP0","6682828.00000000","3.550000","17311130.94","0.39%"
"Santacruz Silver Mining Ltd","SCZ CN","BVV5T70","1665461.00000000","13.790000","16758515.22","0.38%"
"Invesco Government & Agency Portfolio 12/31/2031","AGPXX","825252885","13924699.52000000","100.000000","13924699.52","0.31%"
"Kingsgate Consolidated Ltd","KCN AU","6492731","2525049.00000000","6.870000","12589693.32","0.28%"
"i-80 Gold Corp","IAUX","44955L106","8026073.00000000","1.560000","12520673.88","0.28%"
"First Mining Gold Corp","FF CN","BFNW3J7","28544984.00000000","0.550000","11455902.22","0.26%"
"Osisko Metals Inc","OM CN","BYW9WY0","8472590.00000000","1.840000","11375508.48","0.26%"
"Silver Mines Ltd","SVL AU","B1HMJH5","69294484.00000000","0.185000","9303770.68","0.21%"
"Andean Precious Metals Corp","APM CN","BNDS6V4","1482367.00000000","7.750000","8382899.23","0.19%"
"Guanajuato Silver Co Ltd","GSVR CN","BMDM727","13711284.00000000","0.690000","6903415.64","0.15%"
"Heliostar Metals Ltd","HSTR CN","BMCKNF7","4036343.00000000","2.280000","6715211.82","0.15%"
"Contango Silver & Gold Inc","CTGO","21077F100","211253.00000000","26.360000","5568629.08","0.12%"
"Silver Storm Mining Ltd","SVRS CN","BSBJWM7","12318398.00000000","0.610000","5483033.15","0.12%"
"Paramount Gold Nevada Corp","PZG","69924M109","3033122.00000000","1.550000","4701339.10","0.11%"
"Tudor Gold Corp","TUD CN","BL56G67","6006593.00000000","1.050000","4602081.54","0.10%"
"Aftermath Silver Ltd","AAG CN","BDFS6H8","7131108.00000000","0.860000","4474992.07","0.10%"
"Silver Mountain Resources Inc","AGMR CN","BM9YFC3","1321411.00000000","4.360000","4203985.52","0.09%"
"Volcan Cia Minera SAA","VOLCABC1 PE","2236063","13289769.00000000","0.790000","3061622.98","0.07%"
"Chesapeake Gold Corp","CKG CN","2969886","950812.00000000","3.550000","2462973.91","0.06%"
"Manuka Resources Ltd","MKR AU","BMVB5T9","27719067.00000000","0.120000","2414062.21","0.05%"
"Copper Fox Metals Inc","CUU CN","B02SP06","3060240.00000000","0.650000","1451461.93","0.03%"
"Falco Resources Ltd","FPC CN","BPG1NG8","3498677.00000000","0.530000","1353058.35","0.03%"
"IMPACT Silver Corp","IPT CN","2480592","5531282.00000000","0.315000","1271373.51","0.03%"
"Alaska Silver Corp","WAM CN","BV3N4C2","1094758.00000000","0.805000","643058.99","0.01%"
"Panoro Minerals Ltd","PML CN","2001551","562400.00000000","1.310000","537592.76","0.01%"
"Minera Frisco SAB de CV","MFRISCOA MF","B3QHKH2","191654.00000000","9.900000","110274.01","0.00%"
"CANADIAN DOLLAR","CAD","CASHCAD","150976.71000000","1.000000","110165.79","0.00%"
"West Vault Mining Inc","WVM CN","BL0P3K2","17192.00000000","1.620000","20322.55","0.00%"
"Almaden Minerals Ltd","AMM CN","BZ0QMF1","60686.00000000","0.285000","12620.31","0.00%"
"Trevali Mining Corp","TV CN","BPP3CJ1","967999.00000000","0.000000","0.00","0.00%"
"PERUVIAN SOL","PEN","CASHPEN","-348.48000000","1.000000","-101.62","0.00%"
"Cash & Other","Cash&Other","Cash&Other","496680.56000000","1.000000","496680.56","0.01%"
"--------------------","--------------------","--------------------","--------------------","--------------------","--------------------"

"Fund holdings are subject to change at any time and should not be considered recommendations to buy or sell any security.","","","","",""
