Fecha,Hora,Id Inversión,Nombre Inversión,Nombre Fondo,Serie Fondo,Aporte Cuotas,Rescate Cuotas,Valor Cuota,Saldo Cuotas Final Dia,Aporte Pesos Chilenos,Rescate Pesos Chilenos,Medio,Saldo Pesos Chilenos Final Dia
26/04/2026,12:00:00,1597541,Ahorro APV-B,Risky Norris,APV,0,0,"3.775,6252","5.368,2145",0,0,"",$20.268.366
25/04/2026,12:00:00,1597541,Ahorro APV-B,Risky Norris,APV,0,0,"3.775,6724","5.368,2145",0,0,"",$20.268.619
24/04/2026,12:00:00,1597541,Ahorro APV-B,Risky Norris,APV,0,0,"3.775,7196","5.368,2145",0,0,"",$20.268.873
23/04/2026,12:00:00,1597541,Ahorro APV-B,Risky Norris,APV,0,0,"3.699,5898","5.368,2145",0,0,"",$19.860.192
22/04/2026,12:00:00,1597541,Ahorro APV-B,Risky Norris,APV,0,0,"3.709,8611","5.368,2145",0,0,"",$19.915.330
21/04/2026,12:00:00,1597541,Ahorro APV-B,Risky Norris,APV,0,0,"3.648,5271","5.368,2145",0,0,"",$19.586.076
20/04/2026,12:00:00,1597541,Ahorro APV-B,Risky Norris,APV,0,0,"3.646,9050","5.368,2145",0,0,"",$19.577.368
19/04/2026,12:00:00,1597541,Ahorro APV-B,Risky Norris,APV,0,0,"3.627,5057","5.368,2145",0,0,"",$19.473.229
18/04/2026,12:00:00,1597541,Ahorro APV-B,Risky Norris,APV,0,0,"3.627,5507","5.368,2145",0,0,"",$19.473.470
17/04/2026,12:00:00,1597541,Ahorro APV-B,Risky Norris,APV,0,0,"3.627,5958","5.368,2145",0,0,"",$19.473.712
16/04/2026,12:00:00,1597541,Ahorro APV-B,Risky Norris,APV,0,0,"3.611,1223","5.368,2145",0,0,"",$19.385.279
15/04/2026,12:00:00,1597541,Ahorro APV-B,Risky Norris,APV,0,0,"3.594,5222","5.368,2145",0,0,"",$19.296.166
14/04/2026,12:00:00,1597541,Ahorro APV-B,Risky Norris,APV,0,0,"3.570,4306","5.368,2145",0,0,"",$19.166.837
13/04/2026,12:00:00,1597541,Ahorro APV-B,Risky Norris,APV,0,0,"3.564,5308","5.368,2145",0,0,"",$19.135.166
12/04/2026,12:00:00,1597541,Ahorro APV-B,Risky Norris,APV,0,0,"3.486,7124","5.368,2145",0,0,"",$18.717.420
11/04/2026,12:00:00,1597541,Ahorro APV-B,Risky Norris,APV,0,0,"3.486,7562","5.368,2145",0,0,"",$18.717.655
10/04/2026,12:00:00,1597541,Ahorro APV-B,Risky Norris,APV,0,0,"3.486,7999","5.368,2145",0,0,"",$18.717.890
09/04/2026,12:00:00,1597541,Ahorro APV-B,Risky Norris,APV,0,0,"3.487,6404","5.368,2145",0,0,"",$18.722.402
08/04/2026,12:00:00,1597541,Ahorro APV-B,Risky Norris,APV,0,0,"3.470,4568","5.368,2145",0,0,"",$18.630.157
07/04/2026,12:00:00,1597541,Ahorro APV-B,Risky Norris,APV,0,0,"3.463,9288","5.368,2145",0,0,"",$18.595.113
06/04/2026,12:00:00,1597541,Ahorro APV-B,Risky Norris,APV,0,0,"3.425,3278","5.368,2145",0,0,"",$18.387.894
05/04/2026,12:00:00,1597541,Ahorro APV-B,Risky Norris,APV,0,0,"3.435,3850","5.368,2145",0,0,"",$18.441.884
04/04/2026,12:00:00,1597541,Ahorro APV-B,Risky Norris,APV,0,0,"3.435,4286","5.368,2145",0,0,"",$18.442.118
03/04/2026,12:00:00,1597541,Ahorro APV-B,Risky Norris,APV,0,0,"3.435,4722","5.368,2145",0,0,"",$18.442.352
02/04/2026,12:00:00,1597541,Ahorro APV-B,Risky Norris,APV,0,0,"3.435,5159","5.368,2145",0,0,"",$18.442.586
01/04/2026,12:00:00,1597541,Ahorro APV-B,Risky Norris,APV,0,0,"3.411,0030","5.368,2145",0,0,"",$18.310.996
31/03/2026,12:00:00,1597541,Ahorro APV-B,Risky Norris,APV,0,0,"3.406,2467","5.368,2145",0,0,"",$18.285.463
30/03/2026,12:00:00,1597541,Ahorro APV-B,Risky Norris,APV,0,0,"3.295,0713","5.368,2145",0,0,"",$17.688.650
29/03/2026,12:00:00,1597541,Ahorro APV-B,Risky Norris,APV,0,0,"3.324,7290","5.368,2145",0,0,"",$17.847.858
28/03/2026,12:00:00,1597541,Ahorro APV-B,Risky Norris,APV,0,0,"3.324,7710","5.368,2145",0,0,"",$17.848.084
27/03/2026,12:00:00,1597541,Ahorro APV-B,Risky Norris,APV,0,0,"3.324,8130","5.368,2145",0,0,"",$17.848.309
26/03/2026,12:00:00,1597541,Ahorro APV-B,Risky Norris,APV,0,0,"3.349,5063","5.368,2145",0,0,"",$17.980.868
25/03/2026,12:00:00,1597541,Ahorro APV-B,Risky Norris,APV,0,0,"3.406,3396","5.368,2145",0,0,"",$18.285.962
24/03/2026,12:00:00,1597541,Ahorro APV-B,Risky Norris,APV,0,0,"3.379,4692","5.368,2145",0,0,"",$18.141.716
23/03/2026,12:00:00,1597541,Ahorro APV-B,Risky Norris,APV,0,0,"3.387,2826","5.368,2145",0,0,"",$18.183.660
22/03/2026,12:00:00,1597541,Ahorro APV-B,Risky Norris,APV,0,0,"3.379,4593","5.368,2145",0,0,"",$18.141.662
21/03/2026,12:00:00,1597541,Ahorro APV-B,Risky Norris,APV,0,0,"3.379,5023","5.368,2145",0,0,"",$18.141.893
20/03/2026,12:00:00,1597541,Ahorro APV-B,Risky Norris,APV,0,0,"3.379,5453","5.368,2145",0,0,"",$18.142.124
19/03/2026,12:00:00,1597541,Ahorro APV-B,Risky Norris,APV,0,0,"3.443,1662","5.368,2145",0,0,"",$18.483.655
18/03/2026,12:00:00,1597541,Ahorro APV-B,Risky Norris,APV,0,0,"3.424,6722","5.368,2145",0,0,"",$18.384.375
17/03/2026,12:00:00,1597541,Ahorro APV-B,Risky Norris,APV,0,0,"3.452,5919","5.368,2145",0,0,"",$18.534.254
16/03/2026,12:00:00,1597541,Ahorro APV-B,Risky Norris,APV,0,0,"3.450,1889","5.368,2145",0,0,"",$18.521.354
15/03/2026,12:00:00,1597541,Ahorro APV-B,Risky Norris,APV,0,0,"3.426,0452","5.368,2145",0,0,"",$18.391.746
14/03/2026,12:00:00,1597541,Ahorro APV-B,Risky Norris,APV,0,0,"3.426,0877","5.368,2145",0,0,"",$18.391.974
